source,date,fund,fund_ticker,bbg_ticker,eqyticker,sedol,shares_cust,quantity,category_description,asset_group,price,market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME
umb,2026-05-14,P2726,P2726,P2726,MA,,626.0,626.0,COMMON,,489.94,306702.44,Financials,Financial Services,Financial Services
umb,2026-05-14,P2726,P2726,P2726,MCD,,785.0,785.0,COMMON,,274.97,215851.45,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-14,P2726,P2726,P2726,MDLZ,,899.0,899.0,COMMON,,60.97,54812.03,Consumer Staples,Food Products,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,MDT,,1398.0,1398.0,COMMON,,76.97,107604.06,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,META,,1292.0,1292.0,COMMON,,618.43,799011.56,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,MMM,,588.0,588.0,COMMON,,145.12,85330.56,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,MO,,1171.0,1171.0,COMMON,,72.41,84792.11,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,MRK,,1494.0,1494.0,COMMON,,113.41,169434.54,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,MS,,923.0,923.0,COMMON,,194.53,179551.19,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,MSFT,,3810.0,3810.0,COMMON,,409.43,1559928.3,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,MU,,670.0,670.0,COMMON,,776.01,519926.7,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,NEE,,3997.0,3997.0,COMMON,,95.68,382432.96,Utilities,Electric Utilities,Utilities
umb,2026-05-14,P2726,P2726,P2726,NFLX,,2513.0,2513.0,COMMON,,86.94,218480.22,Communication Services,Entertainment,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,NKE,,2433.0,2433.0,COMMON,,42.02,102234.66,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel
umb,2026-05-14,P2726,P2726,P2726,NOW,,835.0,835.0,COMMON,,90.5,75567.5,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,NVDA,,12455.0,12455.0,COMMON,,235.74,2936141.7,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,ORCL,,1355.0,1355.0,COMMON,,195.61,265051.55,Information Technology,Software,Software & Services
