fund,fund_ticker,bbg_ticker,date,eqyticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,INTC,2675.0,2675.0,122.2,120.29,0.0,1.91,Match
P2726,P2726,P2726,2026-05-13,INTU,225.0,225.0,371.71,371.71,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,INTU,225.0,225.0,381.59,371.71,0.0,9.88,Match
P2726,P2726,P2726,2026-05-13,INTU,225.0,225.0,381.59,371.71,0.0,9.88,Match
P2726,P2726,P2726,2026-05-13,ISRG,387.0,387.0,432.27,432.27,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ISRG,387.0,387.0,427.78,432.27,0.0,-4.49,Match
P2726,P2726,P2726,2026-05-13,ISRG,387.0,387.0,427.78,432.27,0.0,-4.49,Match
P2726,P2726,P2726,2026-05-13,JNJ,1450.0,1450.0,230.42,230.42,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,JNJ,1450.0,1450.0,226.28,230.42,0.0,-4.14,Match
P2726,P2726,P2726,2026-05-13,JNJ,1450.0,1450.0,226.28,230.42,0.0,-4.14,Match
P2726,P2726,P2726,2026-05-13,JPM,1640.0,1640.0,300.25,300.25,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,JPM,1640.0,1640.0,301.81,300.25,0.0,1.56,Match
P2726,P2726,P2726,2026-05-13,JPM,1640.0,1640.0,301.81,300.25,0.0,1.56,Match
P2726,P2726,P2726,2026-05-13,KO,2700.0,2700.0,80.06,80.26,0.0,-0.2,Match
P2726,P2726,P2726,2026-05-13,KO,2700.0,2700.0,80.06,80.26,0.0,-0.2,Match
P2726,P2726,P2726,2026-05-13,KO,2700.0,2700.0,80.26,80.26,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LIN,1358.0,1358.0,506.78,513.26,0.0,-6.48,Match
P2726,P2726,P2726,2026-05-13,LIN,1358.0,1358.0,506.78,513.26,0.0,-6.48,Match
P2726,P2726,P2726,2026-05-13,LIN,1358.0,1358.0,513.26,513.26,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LLY,478.0,478.0,1015.75,1015.75,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LLY,478.0,478.0,996.88,1015.75,0.0,-18.87,Match
P2726,P2726,P2726,2026-05-13,LLY,478.0,478.0,996.88,1015.75,0.0,-18.87,Match
P2726,P2726,P2726,2026-05-13,LMT,226.0,226.0,519.94,519.94,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LMT,226.0,226.0,512.27,519.94,0.0,-7.67,Match
P2726,P2726,P2726,2026-05-13,LMT,226.0,226.0,512.27,519.94,0.0,-7.67,Match
P2726,P2726,P2726,2026-05-13,LOW,330.0,330.0,220.45,220.45,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LOW,330.0,330.0,221.98,220.45,0.0,1.53,Match
P2726,P2726,P2726,2026-05-13,LOW,330.0,330.0,221.98,220.45,0.0,1.53,Match
P2726,P2726,P2726,2026-05-13,LRCX,749.0,749.0,295.44,295.44,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,LRCX,749.0,749.0,292.48,295.44,0.0,-2.96,Match
P2726,P2726,P2726,2026-05-13,LRCX,749.0,749.0,292.48,295.44,0.0,-2.96,Match
P2726,P2726,P2726,2026-05-13,MA,626.0,626.0,493.04,490.64,0.0,2.4,Match
P2726,P2726,P2726,2026-05-13,MA,626.0,626.0,493.04,490.64,0.0,2.4,Match
P2726,P2726,P2726,2026-05-13,MA,626.0,626.0,490.64,490.64,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MCD,785.0,785.0,274.65,275.7,0.0,-1.05,Match
P2726,P2726,P2726,2026-05-13,MCD,785.0,785.0,274.65,275.7,0.0,-1.05,Match
P2726,P2726,P2726,2026-05-13,MCD,785.0,785.0,275.7,275.7,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MDLZ,899.0,899.0,61.52,61.52,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MDLZ,899.0,899.0,61.51,61.52,0.0,-0.01,Match
P2726,P2726,P2726,2026-05-13,MDLZ,899.0,899.0,61.51,61.52,0.0,-0.01,Match
P2726,P2726,P2726,2026-05-13,MDT,1398.0,1398.0,75.57,76.21,0.0,-0.64,Match
P2726,P2726,P2726,2026-05-13,MDT,1398.0,1398.0,76.21,76.21,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MDT,1398.0,1398.0,75.57,76.21,0.0,-0.64,Match
P2726,P2726,P2726,2026-05-13,META,1292.0,1292.0,616.63,616.63,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,META,1292.0,1292.0,600.0,616.63,0.0,-16.63,Match
P2726,P2726,P2726,2026-05-13,META,1292.0,1292.0,600.0,616.63,0.0,-16.63,Match
P2726,P2726,P2726,2026-05-13,MMM,588.0,588.0,147.1,147.1,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MMM,588.0,588.0,147.53,147.1,0.0,0.43,Match
P2726,P2726,P2726,2026-05-13,MMM,588.0,588.0,147.53,147.1,0.0,0.43,Match
P2726,P2726,P2726,2026-05-13,MO,1171.0,1171.0,71.54,71.54,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MO,1171.0,1171.0,69.96,71.54,0.0,-1.58,Match
P2726,P2726,P2726,2026-05-13,MO,1171.0,1171.0,69.96,71.54,0.0,-1.58,Match
P2726,P2726,P2726,2026-05-13,MRK,1494.0,1494.0,113.45,113.45,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MRK,1494.0,1494.0,112.58,113.45,0.0,-0.87,Match
P2726,P2726,P2726,2026-05-13,MRK,1494.0,1494.0,112.58,113.45,0.0,-0.87,Match
P2726,P2726,P2726,2026-05-13,MS,923.0,923.0,193.83,193.83,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MS,923.0,923.0,190.41,193.83,0.0,-3.42,Match
P2726,P2726,P2726,2026-05-13,MS,923.0,923.0,190.41,193.83,0.0,-3.42,Match
P2726,P2726,P2726,2026-05-13,MSFT,3810.0,3810.0,404.29,405.21,0.0,-0.92,Match
P2726,P2726,P2726,2026-05-13,MSFT,3810.0,3810.0,404.29,405.21,0.0,-0.92,Match
P2726,P2726,P2726,2026-05-13,MSFT,3810.0,3810.0,405.21,405.21,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MU,670.0,670.0,801.48,803.63,0.0,-2.15,Match
P2726,P2726,P2726,2026-05-13,MU,670.0,670.0,803.63,803.63,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,MU,670.0,670.0,801.48,803.63,0.0,-2.15,Match
P2726,P2726,P2726,2026-05-13,NEE,3997.0,3997.0,94.85,94.85,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,NEE,3997.0,3997.0,93.46,94.85,0.0,-1.39,Match
P2726,P2726,P2726,2026-05-13,NEE,3997.0,3997.0,93.46,94.85,0.0,-1.39,Match
P2726,P2726,P2726,2026-05-13,NFLX,2513.0,2513.0,86.83,87.56,0.0,-0.73,Match
P2726,P2726,P2726,2026-05-13,NFLX,2513.0,2513.0,86.83,87.56,0.0,-0.73,Match
P2726,P2726,P2726,2026-05-13,NFLX,2513.0,2513.0,87.56,87.56,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,NKE,2433.0,2433.0,42.01,42.34,0.0,-0.33,Match
P2726,P2726,P2726,2026-05-13,NKE,2433.0,2433.0,42.34,42.34,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,NKE,2433.0,2433.0,42.01,42.34,0.0,-0.33,Match
P2726,P2726,P2726,2026-05-13,NOW,835.0,835.0,87.05,87.05,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,NOW,835.0,835.0,87.59,87.05,0.0,0.54,Match
P2726,P2726,P2726,2026-05-13,NOW,835.0,835.0,87.59,87.05,0.0,0.54,Match
P2726,P2726,P2726,2026-05-13,NVDA,12455.0,12455.0,225.83,225.83,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,NVDA,12455.0,12455.0,225.76,225.83,0.0,-0.07,Match
P2726,P2726,P2726,2026-05-13,NVDA,12455.0,12455.0,225.76,225.83,0.0,-0.07,Match
P2726,P2726,P2726,2026-05-13,ORCL,1355.0,1355.0,189.35,189.76,0.0,-0.41,Match
P2726,P2726,P2726,2026-05-13,ORCL,1355.0,1355.0,189.35,189.76,0.0,-0.41,Match
P2726,P2726,P2726,2026-05-13,ORCL,1355.0,1355.0,189.76,189.76,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PEP,954.0,954.0,149.27,149.27,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PEP,954.0,954.0,150.82,149.27,0.0,1.55,Match
P2726,P2726,P2726,2026-05-13,PEP,954.0,954.0,150.82,149.27,0.0,1.55,Match
P2726,P2726,P2726,2026-05-13,PFE,3421.0,3421.0,25.96,25.96,0.0,0.0,Match
