source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-13,P2726,P2726,P2726,SPX US 07/31/26 P5346.5,62.0,62.0,OPTP_IEQ,,11.77,72990.12,SP31765B,
umb,2026-05-13,P2726,P2726,P2726,SPX US 07/31/26 P6000,-4.0,-4.0,OPTP_IEQ,,22.99,-9196.76,SP31764B,
umb,2026-05-13,P2726,P2726,P2726,T US 05/15/26 C25,-10.0,-10.0,OPTC_EQY,,0.12,-115.0,6769929U6,
umb,2026-05-13,P2726,P2726,P2726,TJX US 05/15/26 C155,-1.0,-1.0,OPTC_EQY,,0.12,-12.5,6NU99I350,
umb,2026-05-13,P2726,P2726,P2726,TSLA US 05/15/26 C425,-3.0,-3.0,OPTC_EQY,,21.92,-6577.5,6IX99R7W5,
umb,2026-05-13,P2726,P2726,P2726,TXN US 05/15/26 C290,-1.0,-1.0,OPTC_EQY,,17.05,-1705.0,59199BOP2,
umb,2026-05-13,P2726,P2726,P2726,UBER US 05/15/26 C75,-4.0,-4.0,OPTC_EQY,,0.83,-332.0,5AI99KAJ0,
umb,2026-05-13,P2726,P2726,P2726,UNH US 05/15/26 C377.5,-2.0,-2.0,OPTC_EQY,,23.5,-4700.0,6IC99IVW1,
umb,2026-05-13,P2726,P2726,P2726,UNP US 05/15/26 C265,-1.0,-1.0,OPTC_EQY,,2.15,-215.0,5IE994KD5,
umb,2026-05-13,P2726,P2726,P2726,UPS US 05/15/26 C100,-1.0,-1.0,OPTC_EQY,,0.38,-37.5,513997WY8,
umb,2026-05-13,P2726,P2726,P2726,USB US 05/15/26 C55,-2.0,-2.0,OPTC_EQY,,0.04,-8.0,5IV994YQ2,
umb,2026-05-13,P2726,P2726,P2726,V US 05/15/26 C320,-3.0,-3.0,OPTC_EQY,,3.12,-934.5,5IJ9905O1,
umb,2026-05-13,P2726,P2726,P2726,VZ US 05/15/26 C47,-6.0,-6.0,OPTC_EQY,,0.72,-429.0,6FI9924E6,
umb,2026-05-13,P2726,P2726,P2726,WFC US 05/15/26 C76,-4.0,-4.0,OPTC_EQY,,0.11,-44.0,6Z29992L0,
umb,2026-05-13,P2726,P2726,P2726,WM US 05/15/26 C220,-3.0,-3.0,OPTC_EQY,,0.5,-150.0,48I99SJA9,
umb,2026-05-13,P2726,P2726,P2726,WMT US 05/15/26 C131,-6.0,-6.0,OPTC_EQY,,1.46,-876.0,7059900V2,
umb,2026-05-13,P2726,P2726,P2726,XOM US 05/15/26 C144,-9.0,-9.0,OPTC_EQY,,7.55,-6795.0,6I599PNO0,
umb,2026-05-13,P2726,P2726,P2726,XSP US 07/31/26 P534.66,19.0,19.0,OPTP_IEQ,,1.18,2236.87,XP31765B,
umb,2026-05-14,P2726,P2726,P2726,AAPL US 05/15/26 C292.5,-16.0,-16.0,OPTC_EQY,,6.1,-9760.0,71799V0Q1,
