fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-14,eod,ABBV US 05/15/26 C200,2026-05-15,,ABBV  260515C00200000,ABBV,210.77,0.855383,200.0,-2,,,10.95,-42154.0,-2190.0,-36057.814982,-1873.28877,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
P2726,P2726,2026-05-14,eod,ABT US 05/15/26 C85,2026-05-15,,ABT   260515C00085000,ABT,84.9,0.456994,85.0,-4,,,0.5,-33960.0,-200.0,-15519.51624,-91.3988,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock
P2726,P2726,2026-05-14,eod,ACN US 05/15/26 C180,2026-05-15,,ACN   260515C00180000,ACN,163.99,0.05261,180.0,-1,,,0.1,-16399.0,-10.0,-862.75139,-0.5261,Information Technology,IT Services,Software & Services,,Common Stock
P2726,P2726,2026-05-14,eod,ADBE US 05/15/26 C252.5,2026-05-15,,ADBE  260515C00252500,ADBE,237.01,0.02677,252.5,-1,,,0.08,-23701.0,-8.0,-634.47577,-0.21416,Information Technology,Software,Software & Services,,Common Stock
P2726,P2726,2026-05-14,eod,AMAT US 05/15/26 C435,2026-05-15,,AMAT  260515C00435000,AMAT,440.56,0.572775,435.0,-1,,,20.27,-44056.0,-2027.0,-25234.1754,-1161.014925,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock
P2726,P2726,2026-05-14,eod,AMD US 05/15/26 C447.5,2026-05-15,,AMD   260515C00447500,AMD,449.7,0.556936,447.5,-2,,,8.65,-89940.0,-1730.0,-50090.82384,-963.49928,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock
P2726,P2726,2026-05-14,eod,AMGN US 05/15/26 C330,2026-05-15,,AMGN  260515C00330000,AMGN,336.23,0.784631,330.0,-1,,,5.6,-33623.0,-560.0,-26381.648113,-439.39336,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
P2726,P2726,2026-05-14,eod,AMT US 05/15/26 C175,2026-05-15,,AMT   260515C00175000,AMT,170.5,0.178227,175.0,-5,,,0.6,-85250.0,-300.0,-15193.85175,-53.4681,Real Estate,Specialized REITs,Equity Real Estate Investment Trusts,,REIT
P2726,P2726,2026-05-14,eod,AMZN US 05/15/26 C272.5,2026-05-15,,AMZN  260515C00272500,AMZN,267.22,0.154524,272.5,-12,,,0.4,-320664.0,-480.0,-49550.283936,-74.17152,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail,,Common Stock
P2726,P2726,2026-05-14,eod,AVGO US 05/15/26 C430,2026-05-15,,AVGO  260515C00430000,AVGO,439.79,0.791302,430.0,-6,,,11.6,-263874.0,-6960.0,-208804.023948,-5507.46192,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock
